;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
Shoshoni;0;0;1;0;0;0;Y;Y;0;0;1;1;9;9;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Tallensi;5;1;1;2;0;2;0;X;1;0;4;4;Y;2;4;5;0;0;0;1;0;0;1;0;4;0;0;0;3;0;0;0;0;0;0;0;1;0;1
Tanala;5;1;2;0;1;2;0;1;1;0;6;3;4;3;4;3;1;1;1;1;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;2;1;1;1
Timbira;4;Y;2;1;1;1;0;Y;0;0;9;4;1;X;2;X;6;6;1;0;1;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0
Tiv;5;2;2;1;0;2;2;2;1;1;4;3;2;2;2;2;1;1;1;1;0;0;0;1;4;0;0;0;2;0;1;0;0;1;0;2;1;0;1
Toda;3;2;0;0;0;2;2;Y;1;0;4;2;9;9;0;5;0;0;1;1;1;2;0;0;0;2;2;0;0;1;1;0;0;0;0;1;0;0;X
Trumai;7;1;2;0;1;1;0;0;0;0;5;2;9;9;1;X;0;0;0;0;0;0;0;2;0;2;2;1;0;0;0;0;0;0;0;1;0;0;0
Winnebago;8;2;1;1;1;2;0;2;0;0;4;2;9;9;1;8;1;1;0;Y;2;0;0;0;4;0;0;7;0;1;0;0;0;0;0;1;1;1;1
Yagua;6;Y;1;0;0;0;0;1;0;1;3;2;9;9;1;5;1;1;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
Yahgan;0;1;Y;0;0;0;0;1;0;0;1;1;9;9;0;0;0;0;0;1;0;0;0;2;3;1;1;0;1;0;0;0;0;0;0;0;1;0;1
Yokuts;6;1;1;1;1;0;0;2;1;0;6;3;4;X;4;X;1;1;0;0;1;1;0;2;0;0;0;9;1;0;1;0;1;0;0;2;0;0;0
Yurok;1;3;2;0;0;2;2;2;1;0;3;1;9;9;0;0;0;0;0;1;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Zulu;3;2;1;3;1;2;2;2;1;3;9;4;0;5;5;X;3;3;2;0;2;0;1;1;1;3;3;1;3;0;1;0;0;0;0;2;1;0;0
Zuni;5;2;Y;2;3;0;2;0;0;1;9;2;9;9;3;7;6;6;1;1;3;1;0;1;0;2;1;3;3;0;0;0;1;0;0;2;0;0;1
