SCCS_ID,language_family,G1_Associated,G2_Harm,G3_Help,G4_Punitive,SG1_Associated,SG2_Harm,SG3_Help,SG4_Punitive,MS1_Associated,MS2_Harm,MS3_Help,MS4_Punitive,Social_Complexity,ResourceStress,Stress
13,Atlantic-Congo,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,10,3,-0.811933291
13,Atlantic-Congo,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,10,4,1.406768811
14,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA
14,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA
14,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3,NA
14,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,0.735994798
15,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,NA
15,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,NA
15,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,NA
15,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,1.449111137
16,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,NA
16,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,NA
16,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,NA
16,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,0.202387114
17,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,NA
17,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,NA
17,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,3,NA
17,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,0.551650975
18,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA
18,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,NA
18,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,NA
18,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,0.220581286
19,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,NA
19,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,NA
19,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,3,NA
19,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,0.763841985
20,Mande,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,NA
20,Mande,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,NA
20,Mande,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,3,NA
20,Mande,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,0.868982493
21,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,39,1,-0.114630361
21,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,39,2,0.310158047
21,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,39,3,1.353222151
21,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,39,4,-0.871992271
22,Mande,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,38,1,NA
22,Mande,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,38,2,0.310158047
22,Mande,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,38,3,NA
22,Mande,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,38,4,-0.292002963
23,Atlantic-Congo,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,32,1,-0.114630361
23,Atlantic-Congo,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,32,2,1.165442359
23,Atlantic-Congo,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,32,3,0.270644430
23,Atlantic-Congo,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,32,4,-0.011906629
24,Songhay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA
24,Songhay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,-0.545126265
24,Songhay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,NA
24,Songhay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4,-1.541326519
25,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,16,1,0.888385296
25,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,16,2,0.310158047
25,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,16,3,0.270644430
25,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,16,4,-1.301598485
26,Afro-Asiatic,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,43,1,1.891400953
26,Afro-Asiatic,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,43,2,1.165442359
26,Afro-Asiatic,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,43,3,0.270644430
26,Afro-Asiatic,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,43,4,0.313676203
27,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,0.888385296
27,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,-0.545126265
27,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,3,-0.811933291
27,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,-0.205671644
28,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,NA
28,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,NA
28,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,3,NA
28,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,4,0.585172296
29,Furan,1,NA,1,1,0,0,0,0,1,0,0,0,37,1,-0.114630361
29,Furan,1,NA,1,1,0,0,0,0,1,0,0,0,37,2,-0.545126265
29,Furan,1,NA,1,1,0,0,0,0,1,0,0,0,37,3,-0.811933291
29,Furan,1,NA,1,1,0,0,0,0,1,0,0,0,37,4,-1.242422091
30,Heibanic,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,28,1,1.891400953
30,Heibanic,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,28,2,1.165442359
30,Heibanic,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,28,3,2.435799873
30,Heibanic,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,28,4,-0.724205135
31,Nilotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,NA
31,Nilotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,NA
31,Nilotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,3,NA
31,Nilotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4,-0.302380750
32,Blue Nile Mao,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,25,1,NA
32,Blue Nile Mao,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,25,2,-0.545126265
32,Blue Nile Mao,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,25,3,-0.811933291
32,Blue Nile Mao,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,25,4,-0.001028103
33,Ta-Ne-Omotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,NA
33,Ta-Ne-Omotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,NA
33,Ta-Ne-Omotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3,NA
33,Ta-Ne-Omotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4,0.489371626
34,Nilotic,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,19,1,0.888385296
34,Nilotic,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,19,2,1.165442359
34,Nilotic,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,19,3,NA
34,Nilotic,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,19,4,1.083773715
35,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,0,0,34,1,-0.114630361
35,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,0,0,34,2,NA
35,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,0,0,34,3,-0.811933291
35,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,0,0,34,4,0.026704249
36,Afro-Asiatic,1,1,1,NA,1,NA,NA,NA,1,NA,NA,0,28,1,-0.114630361
36,Afro-Asiatic,1,1,1,NA,1,NA,NA,NA,1,NA,NA,0,28,2,-0.545126265
36,Afro-Asiatic,1,1,1,NA,1,NA,NA,NA,1,NA,NA,0,28,3,NA
36,Afro-Asiatic,1,1,1,NA,1,NA,NA,NA,1,NA,NA,0,28,4,-1.305540471
37,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,42,1,-0.114630361
37,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,42,2,-1.400410576
37,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,42,3,-0.811933291
37,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,42,4,-0.339668453
38,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,NA
38,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,NA
38,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,3,NA
38,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,-1.250864241
39,Nubian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,1.389893125
39,Nubian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,NA
39,Nubian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,3,NA
